timestamp,open,close,high,low,volume
2021-01-01 02-00-00,443031.0,444000.0,449222.0,440003.0,106.120203
2021-01-01 10-00-00,444000.0,444418.0,448000.0,442173.0,118.263649
2021-01-01 18-00-00,444422.0,446240.0,446730.0,441400.0,126.37533
2021-01-02 02-00-00,446259.0,453400.0,453604.0,442800.0,135.768552
2021-01-02 10-00-00,453400.0,483187.0,485000.0,451499.0,368.973339
2021-01-02 18-00-00,483423.0,482664.0,499980.0,442000.0,599.649362
2021-01-03 02-00-00,482663.0,504959.0,514000.0,477380.0,234.455682
2021-01-03 10-00-00,504965.0,498065.0,512000.0,485000.0,325.973065
2021-01-03 18-00-00,499028.0,489034.0,504997.0,475000.0,266.447428
2021-01-04 02-00-00,489194.0,478253.0,502000.0,478251.0,214.752509
2021-01-04 10-00-00,478253.0,484640.0,490546.0,415002.0,756.929933
2021-01-04 18-00-00,483131.0,484356.0,487060.0,465005.0,226.6105
2021-01-05 02-00-00,484327.0,474004.0,490000.0,449999.0,291.943286
2021-01-05 10-00-00,474630.0,491942.0,499998.0,474630.0,503.346326
2021-01-05 18-00-00,491942.0,509958.0,513500.0,490500.0,365.256558
2021-01-06 02-00-00,511197.0,532890.0,546453.0,501000.0,341.28294
2021-01-06 10-00-00,532546.0,539044.0,543900.0,518106.0,380.839955
2021-01-06 18-00-00,539043.0,571251.0,572500.0,535000.0,408.056318
2021-01-07 02-00-00,569507.0,579997.0,590001.0,568000.0,332.756662
2021-01-07 10-00-00,579625.0,617340.0,617631.0,570063.0,498.537081
2021-01-07 18-00-00,617340.0,624020.0,644900.0,542350.0,759.362526
2021-01-08 02-00-00,624145.0,619000.0,626500.0,582694.0,258.908157
2021-01-08 10-00-00,619000.0,645503.0,656833.0,607922.0,517.988923
2021-01-08 18-00-00,646085.0,643796.0,654000.0,615123.0,316.633283
2021-01-09 02-00-00,642254.0,632795.0,647497.0,620000.0,171.05783
2021-01-09 10-00-00,632574.0,642600.0,652999.0,627023.0,227.60262
2021-01-09 18-00-00,643252.0,637050.0,646500.0,635285.0,128.994168
2021-01-10 02-00-00,636560.0,648499.0,652400.0,636500.0,126.173988
2021-01-10 10-00-00,648499.0,632180.0,649387.0,615999.0,298.134101
2021-01-10 18-00-00,632473.0,604400.0,639996.0,555555.0,620.420893
2021-01-11 02-00-00,606832.0,550904.0,606832.0,450001.0,932.873437
2021-01-11 10-00-00,550901.0,503214.0,585000.0,500000.0,908.327269
2021-01-11 18-00-00,503211.0,516000.0,528000.0,460000.0,734.863119
2021-01-12 02-00-00,515999.0,585701.0,587000.0,500000.0,453.160715
2021-01-12 10-00-00,585701.0,535985.0,586047.0,514000.0,633.677948
2021-01-12 18-00-00,535976.0,536778.0,555886.0,523360.0,286.270133
2021-01-13 02-00-00,535508.0,551600.0,554000.0,508987.0,277.348883
2021-01-13 10-00-00,551998.0,543786.0,552000.0,535000.0,327.453502
2021-01-13 18-00-00,543784.0,587000.0,590000.0,536800.0,393.195193
2021-01-14 02-00-00,585639.0,605005.0,610000.0,569997.0,330.428292
2021-01-14 10-00-00,605005.0,618590.0,625786.0,592262.0,390.474605
2021-01-14 18-00-00,618444.0,614326.0,625000.0,596717.0,272.9679
2021-01-15 02-00-00,614329.0,606475.0,623575.0,591231.0,259.748148
2021-01-15 10-00-00,606475.0,563753.0,612000.0,560295.0,414.486304
2021-01-15 18-00-00,563747.0,586076.0,587000.0,545100.0,394.590169
2021-01-16 02-00-00,586082.0,581486.0,598139.0,563911.0,150.810929
2021-01-16 10-00-00,581086.0,590920.0,599999.0,579000.0,215.612686
2021-01-16 18-00-00,591340.0,574000.0,594583.0,562500.0,158.610403
2021-01-17 02-00-00,573667.0,552644.0,582499.0,550999.0,121.131478
2021-01-17 10-00-00,552644.0,565159.0,570000.0,541500.0,194.286312
2021-01-17 18-00-00,565121.0,567652.0,581004.0,560821.0,114.532782
2021-01-18 02-00-00,567652.0,574291.0,579050.0,555011.0,129.900343
2021-01-18 10-00-00,574284.0,573432.0,595000.0,570266.0,237.457141
2021-01-18 18-00-00,573201.0,578114.0,581000.0,564000.0,178.272777
2021-01-19 02-00-00,578118.0,586310.0,586471.0,572000.0,184.609545
2021-01-19 10-00-00,586031.0,581205.0,590934.0,575000.0,262.26117
2021-01-19 18-00-00,581211.0,563000.0,589000.0,562982.0,223.490794
2021-01-20 02-00-00,562983.0,557687.0,568922.0,540000.0,218.58432
