2024-06-11 12:20:52,122 INFO Trade executed: {'date': '2023-01-10', 'price': 299897.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:52,464 INFO Trade executed: {'date': '2023-01-10', 'price': 300380.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:52,805 INFO Trade executed: {'date': '2023-01-11', 'price': 300665.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:53,145 INFO Trade executed: {'date': '2023-01-11', 'price': 298910.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:53,484 INFO Trade executed: {'date': '2023-01-11', 'price': 302850.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:53,829 INFO Trade executed: {'date': '2023-01-12', 'price': 310686.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:54,173 INFO Trade executed: {'date': '2023-01-12', 'price': 309312.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:54,512 INFO Trade executed: {'date': '2023-01-12', 'price': 317818.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:54,848 INFO Trade executed: {'date': '2023-01-13', 'price': 318696.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:55,193 INFO Trade executed: {'date': '2023-01-13', 'price': 328312.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:55,527 INFO Trade executed: {'date': '2023-01-13', 'price': 340945.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:55,864 INFO Trade executed: {'date': '2023-01-14', 'price': 357994.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:56,204 INFO Trade executed: {'date': '2023-01-14', 'price': 354085.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:56,544 INFO Trade executed: {'date': '2023-01-14', 'price': 354801.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:20:56,885 INFO Trade executed: {'date': '2023-01-15', 'price': 352900.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
