timestamp,open,close,high,low,volume
2022-01-01 02-00-00,750820.0,759543.0,760775.0,750401.0,6.085735
2022-01-01 06-00-00,759399.0,765593.0,769888.0,755914.0,17.790617
2022-01-01 10-00-00,765594.0,759500.0,765998.0,759500.0,15.836656
2022-01-01 14-00-00,760015.0,765934.0,768795.0,759504.0,9.468712
2022-01-01 18-00-00,765470.0,765851.0,774556.0,765150.0,11.294817
2022-01-01 22-00-00,765850.0,771813.0,772005.0,764200.0,7.204249
2022-01-02 02-00-00,771539.0,767421.0,771624.0,765913.0,3.237811
2022-01-02 06-00-00,767118.0,762781.0,768351.0,759832.0,10.804116
2022-01-02 10-00-00,764395.0,764534.0,768401.0,762027.0,7.818434
2022-01-02 14-00-00,764837.0,764569.0,766000.0,761500.0,12.700965
2022-01-02 18-00-00,765412.0,759100.0,773600.0,756580.0,21.602542
2022-01-02 22-00-00,759106.0,766552.0,768399.0,757615.0,6.431605
2022-01-03 02-00-00,766576.0,761770.0,767077.0,758992.0,6.173418
2022-01-03 06-00-00,761769.0,764029.0,766461.0,760201.0,28.888921
2022-01-03 10-00-00,764029.0,762506.0,764582.0,756000.0,38.328379
2022-01-03 14-00-00,763000.0,756459.0,767762.0,755900.0,41.385651
2022-01-03 18-00-00,756459.0,750001.0,758459.0,749000.0,26.312845
2022-01-03 22-00-00,750000.0,752017.0,752671.0,740006.0,18.377925
2022-01-04 02-00-00,751897.0,749289.0,752200.0,743412.0,7.39915
2022-01-04 06-00-00,749886.0,754984.0,755000.0,743350.0,61.552125
2022-01-04 10-00-00,755000.0,760000.0,760201.0,751649.0,40.381911
2022-01-04 14-00-00,760001.0,761245.0,773000.0,757892.0,50.421154
2022-01-04 18-00-00,761197.0,752022.0,764180.0,748700.0,41.674955
2022-01-04 22-00-00,752997.0,750615.0,759846.0,748500.0,16.107762
2022-01-05 02-00-00,750614.0,759500.0,759500.0,748200.0,6.795018
2022-01-05 06-00-00,759499.0,758481.0,760887.0,756073.0,33.136525
2022-01-05 10-00-00,759062.0,749771.0,762999.0,748216.0,60.048596
2022-01-05 14-00-00,749480.0,752283.0,754967.0,745000.0,38.677905
2022-01-05 18-00-00,750837.0,725000.0,753705.0,724996.0,52.787301
2022-01-05 22-00-00,725000.0,708003.0,728298.0,691086.0,81.447696
2022-01-06 02-00-00,708001.0,697038.0,714259.0,696628.0,21.034758
2022-01-06 06-00-00,698448.0,704494.0,705000.0,689898.0,60.636367
2022-01-06 10-00-00,704493.0,690969.0,704499.0,685794.0,83.609962
2022-01-06 14-00-00,690999.0,692082.0,697152.0,688680.0,49.931254
2022-01-06 18-00-00,692083.0,700089.0,701399.0,690000.0,31.671337
2022-01-06 22-00-00,701379.0,694185.0,703988.0,692763.0,16.499062
2022-01-07 02-00-00,693007.0,675682.0,693794.0,672471.0,24.749879
2022-01-07 06-00-00,675666.0,675536.0,678832.0,661010.0,87.841508
2022-01-07 10-00-00,674242.0,676764.0,688029.0,673032.0,80.867321
2022-01-07 14-00-00,677662.0,663869.0,684492.0,653002.0,91.486986
2022-01-07 18-00-00,663855.0,668847.0,675675.0,650006.0,45.639196
2022-01-07 22-00-00,668847.0,663699.0,671000.0,660096.0,16.607895
2022-01-08 02-00-00,663700.0,672497.0,673684.0,663700.0,17.855208
2022-01-08 06-00-00,672489.0,673413.0,677717.0,671261.0,51.158086
2022-01-08 10-00-00,674146.0,677871.0,679990.0,673060.0,31.18001
2022-01-08 14-00-00,677868.0,672013.0,678891.0,671050.0,33.604565
2022-01-08 18-00-00,671999.0,658000.0,673499.0,657000.0,65.628795
2022-01-08 22-00-00,658000.0,669123.0,677418.0,640001.0,33.662193
2022-01-09 02-00-00,669379.0,671341.0,676214.0,665700.0,9.850096
2022-01-09 06-00-00,671636.0,672146.0,675000.0,670000.0,9.649119
2022-01-09 10-00-00,671600.0,673361.0,674759.0,666014.0,16.285105
2022-01-09 14-00-00,673437.0,671683.0,674761.0,666415.0,24.317764
2022-01-09 18-00-00,671682.0,685899.0,686475.0,670587.0,27.640606
2022-01-09 22-00-00,685900.0,675000.0,688807.0,675000.0,13.281695
2022-01-10 02-00-00,675000.0,676177.0,676922.0,671111.0,6.653159
2022-01-10 06-00-00,676093.0,676974.0,682449.0,675000.0,46.50211
2022-01-10 10-00-00,676929.0,667337.0,678000.0,666169.0,95.416766
2022-01-10 14-00-00,666782.0,660113.0,668450.0,641000.0,103.779976
2022-01-10 18-00-00,660114.0,663977.0,677999.0,653524.0,81.803419
2022-01-10 22-00-00,664300.0,670019.0,673000.0,661815.0,24.664176
2022-01-11 02-00-00,670036.0,679223.0,679500.0,666375.0,15.901109
2022-01-11 06-00-00,679499.0,678602.0,681800.0,674318.0,59.009833
2022-01-11 10-00-00,678577.0,669615.0,681800.0,665086.0,72.354383
2022-01-11 14-00-00,670756.0,666389.0,674381.0,661124.0,62.286893
2022-01-11 18-00-00,666687.0,683984.0,684999.0,666666.0,53.249552
2022-01-11 22-00-00,683395.0,678819.0,684992.0,674584.0,10.729534
2022-01-12 02-00-00,679613.0,679419.0,681793.0,676079.0,8.844122
2022-01-12 06-00-00,679257.0,678754.0,681683.0,676200.0,39.449822
2022-01-12 10-00-00,678761.0,681008.0,689005.0,676000.0,72.478563
2022-01-12 14-00-00,681515.0,687652.0,696383.0,679152.0,77.578513
