timestamp,open,close,high,low,volume
2019-03-25 02-00-00,60629.0,59053.0,60890.0,58682.0,531.333889
2019-03-26 02-00-00,59064.0,59014.0,59832.0,59000.0,684.477855
2019-03-27 02-00-00,59014.0,60959.0,60959.0,59013.0,518.005057
2019-03-28 02-00-00,60959.0,61191.0,61485.0,60958.0,464.979656
2019-03-29 02-00-00,61191.0,62070.0,62348.0,61190.0,530.320231
2019-03-30 02-00-00,62071.0,62200.0,62200.0,61251.0,381.176131
2019-03-31 02-00-00,62200.0,62074.0,62891.0,62071.0,249.819949
2019-04-01 02-00-00,62074.0,60630.0,62737.0,60630.0,657.966959
2019-04-02 02-00-00,60630.0,71399.0,75497.0,60630.0,1258.193735
2019-04-03 02-00-00,71399.0,74001.0,78499.0,70999.0,1134.82962
2019-04-04 02-00-00,74000.0,72741.0,77000.0,70802.0,1013.663724
2019-04-05 02-00-00,72741.0,74736.0,75038.0,72740.0,824.687068
2019-04-06 02-00-00,74736.0,75843.0,77399.0,74500.0,512.03842
2019-04-07 02-00-00,75716.0,78010.0,78123.0,75699.0,472.033571
2019-04-08 02-00-00,78008.0,78900.0,81201.0,77500.0,849.547362
2019-04-09 02-00-00,78900.0,77245.0,79491.0,76500.0,786.420002
2019-04-10 02-00-00,77245.0,77802.0,79448.0,77245.0,776.89559
2019-04-11 02-00-00,77802.0,74529.0,78030.0,73503.0,887.684315
2019-04-12 02-00-00,74530.0,74637.0,75350.0,73001.0,756.938792
2019-04-13 02-00-00,74637.0,76007.0,76326.0,74636.0,456.036006
2019-04-14 02-00-00,76007.0,76860.0,76998.0,76007.0,229.7852
2019-04-15 02-00-00,76859.0,75650.0,78250.0,75599.0,648.7896
2019-04-16 02-00-00,75651.0,77000.0,77000.0,75500.0,722.602955
2019-04-17 02-00-00,76999.0,76999.0,77563.0,76602.0,708.053129
2019-04-18 02-00-00,76999.0,78500.0,78505.0,76999.0,647.883266
2019-04-19 02-00-00,78500.0,78840.0,78900.0,78181.0,313.245746
2019-04-20 02-00-00,78841.0,79889.0,79890.0,78840.0,230.350231
2019-04-21 02-00-00,79889.0,79186.0,80500.0,79186.0,325.867845
2019-04-22 02-00-00,79186.0,81200.0,81348.0,79186.0,171.893633
2019-04-23 02-00-00,81200.0,84604.0,85000.0,81149.0,646.518533
2019-04-24 02-00-00,84604.0,82731.0,84999.0,81850.0,737.450363
2019-04-25 02-00-00,82731.0,78000.0,83327.0,77999.0,689.059821
2019-04-26 02-00-00,78000.0,78000.0,80089.0,77000.0,735.317309
2019-04-27 02-00-00,78000.0,79370.0,79513.0,77999.0,254.542207
2019-04-28 02-00-00,79369.0,78445.0,79800.0,78210.0,181.100775
2019-04-29 02-00-00,78444.0,77306.0,79500.0,77222.0,645.065188
2019-04-30 02-00-00,77306.0,78573.0,79198.0,77305.0,526.389929
2019-05-01 02-00-00,78572.0,79844.0,80205.0,78572.0,246.536
2019-05-02 02-00-00,79845.0,81401.0,81699.0,79844.0,317.057832
2019-05-03 02-00-00,81401.0,84764.0,86682.0,81400.0,521.552908
2019-05-04 02-00-00,84765.0,86191.0,86270.0,83402.0,299.108965
2019-05-05 02-00-00,86213.0,86118.0,86270.0,85281.0,197.121992
2019-05-06 02-00-00,86118.0,85529.0,86118.0,84650.0,488.780959
2019-05-07 02-00-00,85530.0,88181.0,88900.0,85530.0,539.350074
2019-05-08 02-00-00,88181.0,88990.0,88990.0,88000.0,331.508348
2019-05-09 02-00-00,88990.0,91869.0,92222.0,88989.0,607.783325
2019-05-10 02-00-00,91869.0,94998.0,95989.0,91800.0,722.71255
2019-05-11 02-00-00,94998.0,108333.0,109900.0,94997.0,757.258717
2019-05-12 02-00-00,108015.0,105449.0,114000.0,100500.0,907.355635
2019-05-13 02-00-00,105492.0,117590.0,120000.0,104506.0,897.004292
2019-05-14 02-00-00,117590.0,119995.0,126600.0,115102.0,1061.903821
2019-05-15 02-00-00,119994.0,122999.0,124100.0,118812.0,678.152336
2019-05-16 02-00-00,122999.0,118200.0,124995.0,116204.0,818.426357
2019-05-17 02-00-00,118200.0,111400.0,118896.0,100007.0,1128.390474
2019-05-18 02-00-00,111400.0,112003.0,115200.0,110000.0,407.767077
2019-05-19 02-00-00,112003.0,123948.0,123948.0,112003.0,424.279217
2019-05-20 02-00-00,123947.0,120276.0,123947.0,115790.0,644.190514
