timestamp,open,close,high,low,volume
2020-01-01 02-00-00,110598.0,111399.0,111399.0,110512.0,30.059632
2020-01-01 10-00-00,111399.0,111397.0,111399.0,111000.0,79.842887
2020-01-01 18-00-00,111397.0,110512.0,111398.0,110512.0,32.597638
2020-01-02 02-00-00,110512.0,110110.0,110950.0,110007.0,35.842944
2020-01-02 10-00-00,110109.0,109193.0,110914.0,109192.0,239.032141
2020-01-02 18-00-00,109192.0,105602.0,109193.0,105501.0,134.457519
2020-01-03 02-00-00,105602.0,110352.0,110470.0,105002.0,168.774289
2020-01-03 10-00-00,110352.0,110817.0,112560.0,110351.0,390.220627
2020-01-03 18-00-00,110818.0,110717.0,111697.0,110150.0,238.838447
2020-01-04 02-00-00,110718.0,111946.0,111946.0,110491.0,84.964758
2020-01-04 10-00-00,111946.0,112199.0,112600.0,111945.0,122.170056
2020-01-04 18-00-00,112199.0,112357.0,112778.0,112001.0,98.65688
2020-01-05 02-00-00,112358.0,114105.0,114105.0,112358.0,45.881391
2020-01-05 10-00-00,114106.0,114213.0,114322.0,113837.0,47.219594
2020-01-05 18-00-00,114213.0,112640.0,114440.0,112402.0,66.370591
2020-01-06 02-00-00,112859.0,115883.0,115987.0,112428.0,92.364984
2020-01-06 10-00-00,115882.0,115957.0,116511.0,115882.0,310.157776
2020-01-06 18-00-00,115884.0,117950.0,117950.0,115779.0,271.785274
2020-01-07 02-00-00,117949.0,120498.0,120561.0,117949.0,265.175124
2020-01-07 10-00-00,120499.0,119600.0,120850.0,119361.0,363.882528
2020-01-07 18-00-00,119601.0,124319.0,124702.0,119500.0,233.882888
2020-01-08 02-00-00,124291.0,126600.0,128910.0,124291.0,194.306909
2020-01-08 10-00-00,126953.0,126496.0,127700.0,125633.0,392.597868
2020-01-08 18-00-00,126496.0,121382.0,126496.0,118511.0,208.752147
2020-01-09 02-00-00,121383.0,120498.0,121383.0,119701.0,181.958762
2020-01-09 10-00-00,120499.0,119001.0,120499.0,118512.0,270.258122
2020-01-09 18-00-00,119000.0,118000.0,120500.0,117633.0,243.564903
2020-01-10 02-00-00,118000.0,117000.0,118001.0,116779.0,168.004547
2020-01-10 10-00-00,117020.0,121343.0,121500.0,116318.0,314.921499
2020-01-10 18-00-00,121342.0,121853.0,122342.0,119524.0,156.563285
2020-01-11 02-00-00,121853.0,122185.0,123500.0,121853.0,88.853164
2020-01-11 10-00-00,122185.0,122231.0,123000.0,122184.0,55.919845
2020-01-11 18-00-00,122230.0,122000.0,123740.0,122000.0,72.208042
2020-01-12 02-00-00,121872.0,122678.0,122994.0,121320.0,13.937221
2020-01-12 10-00-00,122678.0,122504.0,122993.0,122503.0,40.486799
2020-01-12 18-00-00,122504.0,122384.0,122504.0,122225.0,42.604507
2020-01-13 02-00-00,122384.0,122255.0,122989.0,121866.0,93.031267
2020-01-13 10-00-00,122256.0,122101.0,122993.0,122100.0,149.24011
2020-01-13 18-00-00,122100.0,122700.0,123000.0,122100.0,132.689466
2020-01-14 02-00-00,122699.0,128000.0,128493.0,122699.0,209.759344
2020-01-14 10-00-00,127999.0,131080.0,131888.0,127900.0,270.318957
2020-01-14 18-00-00,131370.0,131886.0,132999.0,128368.0,209.853178
2020-01-15 02-00-00,131679.0,130512.0,132517.0,128869.0,121.500701
2020-01-15 10-00-00,130511.0,132472.0,133624.0,130511.0,238.639862
2020-01-15 18-00-00,132473.0,132502.0,133000.0,131996.0,160.013652
2020-01-16 02-00-00,132502.0,131391.0,133000.0,130007.0,112.312945
2020-01-16 10-00-00,131004.0,131489.0,132000.0,130521.0,191.649501
2020-01-16 18-00-00,131489.0,131984.0,131998.0,131050.0,127.805472
2020-01-17 02-00-00,131984.0,134761.0,135041.0,131983.0,127.167685
2020-01-17 10-00-00,134761.0,134000.0,135990.0,133200.0,153.909505
2020-01-17 18-00-00,134000.0,135003.0,135200.0,133999.0,130.397503
2020-01-18 02-00-00,135002.0,134221.0,135200.0,133981.0,45.867093
2020-01-18 10-00-00,134221.0,135195.0,135195.0,134000.0,39.255386
2020-01-18 18-00-00,135195.0,135200.0,135200.0,134500.0,43.93383
2020-01-19 02-00-00,135200.0,137400.0,138000.0,135199.0,52.564035
2020-01-19 10-00-00,137400.0,131401.0,137980.0,130905.0,149.524293
2020-01-19 18-00-00,131400.0,132898.0,133310.0,130500.0,84.398854
2020-01-20 02-00-00,132999.0,132000.0,133400.0,132000.0,50.268936
2020-01-20 10-00-00,132000.0,132002.0,132500.0,130260.0,111.071478
2020-01-20 18-00-00,132003.0,132173.0,132801.0,132002.0,74.190148
2020-01-21 02-00-00,132173.0,132681.0,132879.0,132072.0,54.759357
2020-01-21 10-00-00,132681.0,132195.0,132681.0,132091.0,176.110703
