timestamp,positions,rsi,risk_score
2019-01-01,0.0,0.0,0.0
2019-01-02,0.0,0.0,0.0
2019-01-03,0.0,0.0,0.0
2019-01-04,0.0,0.0,0.0
2019-01-05,0.0,0.0,0.0
2019-01-06,0.0,0.0,0.0
2019-01-07,0.0,0.0,0.0
2019-01-08,0.0,0.0,0.0
2019-01-09,0.0,0.0,0.0
2019-01-10,0.0,0.0,0.0
2019-01-11,0.0,0.0,0.0
2019-01-12,0.0,0.0,0.0
2019-01-13,0.0,0.0,0.0
2019-01-14,0.0,40.506101938262745,0.0
2019-01-15,0.0,38.39305965071445,0.0
2019-01-16,0.0,30.916054110815978,0.0
2019-01-17,0.0,37.697391304347825,0.0
2019-01-18,0.0,38.3407282202972,0.0
2019-01-19,0.0,43.00130208333333,0.0
2019-01-20,0.0,25.399099467867387,0.0
2019-01-21,0.0,26.15384615384616,0.0
2019-01-22,0.0,27.71516393442623,0.0
2019-01-23,0.0,24.728645587541294,0.0
2019-01-24,0.0,35.70872274143302,0.0
2019-01-25,0.0,32.52757352941177,0.0
2019-01-26,0.0,36.36994019242437,0.0
2019-01-27,0.0,39.55505279034691,0.0
2019-01-28,1.0,25.99107602539901,0.2599107602539901
2019-01-29,0.0,26.454148471615724,0.0
2019-01-30,0.0,27.037400696242074,0.0
2019-01-31,0.0,22.483019516808525,0.0
2019-02-01,0.0,25.481444747499793,0.0
2019-02-02,0.0,14.329152413530977,0.0
2019-02-03,0.0,17.21854304635761,0.0
2019-02-04,0.0,17.041473612837606,0.0
2019-02-05,0.0,16.41468682505399,0.0
2019-02-06,0.0,17.827160493827165,0.0
2019-02-07,0.0,22.25458075476277,0.0
2019-02-08,0.0,47.89560742510568,0.0
2019-02-09,0.0,47.953001652285664,0.0
2019-02-10,0.0,51.98254600645039,0.0
2019-02-11,0.0,61.75343700698671,0.0
2019-02-12,0.0,66.81297244574495,0.0
2019-02-13,0.0,68.2444577591372,0.0
2019-02-14,0.0,77.03252032520325,0.0
2019-02-15,0.0,76.46752570610438,0.0
2019-02-16,0.0,77.30923694779116,0.0
2019-02-17,0.0,80.76570079979021,0.0
2019-02-18,0.0,88.51774530271399,0.0
2019-02-19,0.0,89.2390930951563,0.0
2019-02-20,0.0,94.23997215696511,0.0
2019-02-21,0.0,91.9425854174005,0.0
2019-02-22,0.0,89.0537145591578,0.0
2019-02-23,0.0,90.87645827101406,0.0
2019-02-24,1.0,59.15587017496994,0.5915587017496994
2019-02-25,0.0,62.22282498135214,0.0
2019-02-26,0.0,62.366614558553664,0.0
2019-02-27,0.0,60.79375848032564,0.0
2019-02-28,0.0,61.27713749664969,0.0
2019-03-01,-1.0,62.836012861736336,0.6283601286173633
2019-03-02,0.0,62.58093758093759,0.0
2019-03-03,0.0,62.8950448692938,0.0
2019-03-04,0.0,46.24980982808459,0.0
2019-03-05,0.0,49.80107985223075,0.0
2019-03-06,0.0,51.093576965669996,0.0
2019-03-07,0.0,55.20415543428232,0.0
2019-03-08,0.0,53.871488103239685,0.0
2019-03-09,0.0,48.305212413377525,0.0
2019-03-10,0.0,80.0,0.0
2019-03-11,1.0,68.29952524816574,0.6829952524816574
2019-03-12,0.0,67.82385085181613,0.0
2019-03-13,0.0,69.35466199189219,0.0
2019-03-14,0.0,69.66706430972779,0.0
2019-03-15,0.0,67.47296197232237,0.0
2019-03-16,0.0,72.16361464968153,0.0
2019-03-17,0.0,69.16833763009645,0.0
2019-03-18,0.0,79.97213887698243,0.0
2019-03-19,0.0,76.60826032540676,0.0
2019-03-20,0.0,73.91062230265905,0.0
2019-03-21,0.0,62.3276737773908,0.0
2019-03-22,0.0,67.24980704913816,0.0
2019-03-23,0.0,64.79535398230088,0.0
2019-03-24,0.0,61.30853994490358,0.0
2019-03-25,0.0,58.87566137566137,0.0
2019-03-26,0.0,59.15736310473153,0.0
2019-03-27,0.0,67.80451606063818,0.0
2019-03-28,0.0,66.32290973608339,0.0
2019-03-29,0.0,68.32829283554072,0.0
