timestamp,signal,positions,short_mavg,long_mavg,rsi,ma_signal,ma_positions,rsi_signal,rsi_positions,fvg_signal,composite_score,risk_score
2019-02-22,0.0,0.0,50538.433333333334,0.0,89.0537145591578,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-02-23,0.0,0.0,50803.03333333333,0.0,90.87645827101406,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-02-24,0.0,1.0,50918.833333333336,0.0,59.15587017496994,1.0,0.0,0.0,1.0,1.0,0.6000000029802323,0.5915587017496994
2019-02-25,0.0,0.0,51014.5,0.0,62.22282498135214,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-26,0.0,0.0,51130.1,0.0,62.366614558553664,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-27,0.0,0.0,51311.4,0.0,60.79375848032564,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-28,0.0,0.0,51535.0,0.0,61.27713749664969,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.0,-1.0,51792.0,52926.03333333333,62.836012861736336,0.0,-1.0,0.0,0.0,-1.0,-0.6000000029802323,0.6283601286173633
2019-03-02,0.0,0.0,52084.0,52898.7,62.58093758093759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-03,0.0,0.0,52359.8,52842.05,62.8950448692938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-04,0.0,0.0,52589.3,52799.86666666667,46.24980982808459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-05,0.0,0.0,52884.9,52787.183333333334,49.80107985223075,1.0,1.0,0.0,0.0,-1.0,0.19999999701976778,0.0
2019-03-06,0.0,0.0,53214.3,52780.65,51.093576965669996,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-07,0.0,0.0,53577.9,52742.98333333333,55.20415543428232,1.0,0.0,0.0,0.0,-1.0,-0.20000000298023224,0.0
2019-03-08,0.0,0.0,53959.53333333333,52713.38333333333,53.871488103239685,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-09,0.0,0.0,54361.566666666666,52711.066666666666,48.305212413377525,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-10,0.0,0.0,54658.833333333336,52710.683333333334,80.0,1.0,0.0,-1.0,-1.0,0.0,-0.4,0.0
2019-03-11,0.0,1.0,54882.433333333334,52769.2,68.29952524816574,1.0,0.0,0.0,1.0,1.0,0.6000000029802323,0.6829952524816574
2019-03-12,0.0,0.0,55095.0,52824.316666666666,67.82385085181613,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-13,0.0,0.0,55324.53333333333,52874.416666666664,69.35466199189219,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-14,0.0,0.0,55577.1,52960.916666666664,69.66706430972779,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-15,0.0,0.0,55832.76666666667,53033.1,67.47296197232237,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-16,0.0,0.0,56131.36666666667,53148.23333333333,72.16361464968153,1.0,0.0,-1.0,-1.0,0.0,-0.4,0.0
2019-03-17,0.0,0.0,56405.433333333334,53261.48333333333,69.16833763009645,1.0,0.0,0.0,1.0,0.0,0.4,0.0
2019-03-18,0.0,0.0,56676.333333333336,53371.48333333333,79.97213887698243,1.0,0.0,-1.0,-1.0,0.0,-0.4,0.0
2019-03-19,0.0,0.0,56957.23333333333,53484.85,76.60826032540676,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-03-20,0.0,0.0,57118.23333333333,53571.4,73.91062230265905,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-03-21,0.0,0.0,57233.86666666667,53682.25,62.3276737773908,1.0,0.0,0.0,1.0,0.0,0.4,0.0
2019-03-22,0.0,0.0,57365.933333333334,53810.5,67.24980704913816,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-23,0.0,0.0,57521.76666666667,53945.35,64.79535398230088,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-24,0.0,0.0,57656.13333333333,54097.28333333333,61.30853994490358,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-25,0.0,0.0,57651.166666666664,54227.1,58.87566137566137,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-26,0.0,0.0,57818.26666666667,54368.55,59.15736310473153,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-27,0.0,0.0,58039.6,54527.05,67.80451606063818,1.0,0.0,0.0,0.0,-1.0,-0.20000000298023224,0.0
2019-03-28,0.0,0.0,58269.0,54699.55,66.32290973608339,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-29,0.0,0.0,58535.76666666667,54923.583333333336,68.32829283554072,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-30,0.0,0.0,58788.433333333334,55161.71666666667,62.32944678739767,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,0.0,0.0,59005.9,55398.95,64.78855079938113,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,59168.3,55626.15,53.51297182941766,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-02,0.0,0.0,59689.433333333334,56024.61666666667,78.61496696204478,1.0,0.0,-1.0,-1.0,0.0,-0.4,0.0
2019-04-03,0.0,0.0,60342.63333333333,56465.96666666667,81.14828209764919,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-04-04,0.0,0.0,60901.53333333333,56893.21666666667,79.22146703151205,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-04-05,0.0,0.0,61499.86666666667,57357.083333333336,80.15177065767286,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-04-06,0.0,0.0,62101.3,57839.6,80.67878688390036,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-04-07,0.0,0.0,62776.63333333333,58368.083333333336,83.08020250466294,1.0,0.0,-1.0,0.0,-1.0,-0.20000000298023224,0.0
2019-04-08,0.0,0.0,63448.23333333333,58904.9,88.78639828024234,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-04-09,0.0,0.0,64056.833333333336,59357.833333333336,83.51163560163229,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-04-10,0.0,0.0,64726.53333333333,59804.48333333333,82.62503389764848,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-04-11,0.0,0.0,65289.63333333333,60192.316666666666,73.11291328758578,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-04-12,0.0,0.0,65857.53333333334,60591.03333333333,72.37474628778976,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2019-04-13,0.0,0.0,66449.53333333334,61013.316666666666,73.54295263104048,1.0,0.0,-1.0,0.0,-1.0,-0.20000000298023224,0.0
2019-04-14,0.0,0.0,67059.7,61446.23333333333,74.60232945091514,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
